Common name;Scientific name;Biogeographicrealm;exotic;CITES clasification;IUCN clasification;zone;Climate;Biome;Annual precipitation (mm);Temperature (°C);Altitudinal belts;Latitudinal regions;Altitudinal distribution (m.a.s.l.);Habit of activity;Lifestage
Grillo doméstico;Acheta domesticus;Paleartic;Exotic;N;DD;Asia;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1200;Diurnal/Nocturnal;Forest surface;Imago, Pupa
Hormiga culona;Atta laevigata;Neotropical;Native;N;DD;Pacific, Andes ,  Orinoco regions;Moist forest;2000-4000;>24;Premontane;Tropical;500 - 1200;Diurnal/Nocturnal;Subsoil;Imago
Cucaracha discoide;Blaberus discoidalis;Neotropical;Native;N;DD;Amazonas , Orinoco regions;Moist forest;2000-4000;>24;Premontane;Tropical;700 - 1600;Nocturnal;Forest surface;Imago, Pupa
Cucaracha gigante;Blaberus giganteus;Neotropical;Native;N;DD;Amazonas , Orinoco regions;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1600;Nocturnal;Forest surface;Imago, Pupa
Gusano de seda;Bombyx mori; Paleartic, Indomalayan;Exotic;N;DD;Asia;Dry forest;1000- 2000;>24;Premontane;Tropical;0 - 1700;Nocturnal;Undergrowth;Larva
Pasionaria andina;Dione glycera;Neotropical;Native;N;DD;Pacific, Andes, Orinoco , Amazonas regions;Moist forest;2000-4000;>24;Premontane;Tropical;800 - 2000;Diurnal;Undergrowth;Larva, Pupa, Imagokile 
Escarabajo hércules;Dynastes hercules;Neotropical;Native;N;DD;Amazonas , Pacific regions;Moist forest;2000-4000;>24;Premontane;Tropical;330 - 2100;Nocturnal;Forest surface;Larva, Pupa, Imago
Gusano de la cera;Galleria mellonella;Paleartic, Afrotropical, Cosmopolitan;Exotic;N;DD;Africa , Asia;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1200;Nocturnal;Forest surface;Larva
Grillo de campo;Gryllus assimilis;Neotropical;Native;N;DD;Pacífic, Andes, Orinoco, Amazonas , Insular regions;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1800;Diurnal/Nocturnal;Forest surface;Nymph, Imago
Mosca soldado negra;Hermetia illucens;Neartic, Cosmopolitan;Exotic;N;DD;North America;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 2000;Diurnal;Forest surface;Larva, Pupa, Imago
Mantis religiosa;Mantis religiosa;Paleartic, Afrotropical;Exotic;N;LC;Europe, Africa;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1800;Diurnal;Undergrowth;Imago
Morfo anacarada;Morpho rhodopteron;Neotropical;Native;N;DD;Caribe region;Moist forest;1000- 2000;12- 24;Lower montane ;Warm temperate;1600 - 2400;Diurnal;Forest canopy;Imago
Mosca doméstica;Musca domestica;Neartic, Cosmopolitan;Exotic;N;DD;North America;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 2200;Diurnal;Forest surface;Larva, Imago
Escarabajo de la palma;Rhynchophorus palmarum;Neotropical;Native;N;DD;Amazonas region;Dry forest;1000- 2000;>24;Premontane;Tropical;0 - 1200;Diurnal;Subsoil;Larva
Abeja mellipona;Scaptotrigona spp.;Neotropical;Native;N;DD;Pacific, Andes, Orinoco, Amazonas , Insular regions;Moist forest;2000-4000;>24;Premontane;Tropical;100 - 2600;Diurnal;Forest surface;Larva, Pupa, Imago
Gusano de la harina;Tenebrio molitor;Paleartic, Afrotropical, Cosmopolitan;Exotic;N;DD;Europe, Africa;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1800;Nocturnal;Subsoil;Larva, Pupa, Imago
Avispilla;Trichogramma exiguum;Neotropical;Native;N;DD;Pacific, Andes, Orinoco, Amazonas , Insular regions;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1200;Diurnal/Nocturnal;Forest surface;Imago
Gusano rey;Zophobas morio;Neotropical;Exotic;N;DD;Central America;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 2400;Diurnal/Nocturnal;Forest surface;Larva
Escarabajo de los carrizos;Golofa porteri;Neotropical;Native;N;DD;Venezuela, Colombia, Guyana, Panama, Costa Rica , Nicaragua;Wet forest;1000- 2000;6- 12;Montane;Cool temperate;1000 - 3000;Diurnal/Nocturnal;Subsoil;Larva
Hercules negro;Dynastes neptunus;Neotropical;Native;N;DD;Colombia, Venezuela, Ecuador , Peru;Rain forest;2000-4000;>24;Subalpine;Boreal;1500 - 3000;Nocturnal;Forest surface;Larva, Imago
Escarabajo elefante;Megasoma elephas;Neotropical;Native;N;DD;Santander, Amazonas , Guaviare regions;Dry forest;1000- 2000;>24;Premontane;Tropical;0 - 500;Nocturnal;Subsoil;Larva, Imago
Ciervo volante;Lucanus cervus;Paleartic;Exotic;N;DD;Europe;Moist forest;2000-4000;>24;Premontane;Tropical;0 -1500;Nocturnal;Subsoil;Larva, Imago
Rinoceronte japones;Trypoxylus dichotomus;Paleartic;Exotic;N;DD;Japan;Moist forest;2000-4000;>24;Premontane;Tropical;0 - 1500;Nocturnal;Subsoil;Larva, Imago
Mamacoca o mariposa de la coca;Eloria noyesi;Neotropical;Native;N;DD;Peru , Colombia;Moist forest;2000-4000;>24;Premontane;Tropical;800-2500;Diurnal/Nocturnal;Forest canopy;Larva, Imago
Macaón;Papilio machaon;Paleartic, Neartic;Exotic;N;LC;Europe, Asia, Middle East , North America;Steppe;250 - 500;6- 12;Montane;Cool temperate;0-2000;Diurnal;Forest canopy;Imago
Morfo gigante;Morpho didius;Neotropical;Native;N;DD;Colombia, Brasil , Venezuela;Moist forest;2000-4000;>24;Premontane;Tropical;200 - 1200;Diurnal;Forest canopy;Larva, Imago
