GEconEnvResEffWa;GEconEnvResEffLa;GEconEnvResEffEn;GEconEnvResEffGHE;GEconEnvCircEcon;GEconEnvRegNor;GEconEnvConAcu;EnvTotEnv;REconSocSocApp;REconSocGenEq;REconSocYoPe;REconSocPeaJust;REconSocReinc;REconSocPol;REconSocDisInn;PEconSocArt;PEconSocEthVal;OEconSocDivCrea;SocTotSoc;GrEconEconGInc;GrEconEconRetInv;GrEconEconEmpGen;GrEconEconIncGen;GrEconEconDem;EconTotEcon
3;3;3;3;3;3;3;21;1;3;3;3;3;3;3;0;2;0;21;2;2;3;3;3;13
3;1;3;3;3;3;3;19;3;1;3;1;1;3;3;0;2;3;20;1;0;0;2;1;4
3;3;3;3;3;3;3;21;1;1;1;1;1;1;1;2;1;2;12;0;0;0;0;0;0
3;3;3;3;3;3;3;21;1;1;1;1;1;1;1;2;1;2;12;0;0;0;0;0;0
2;3;2;3;3;3;3;19;2;2;2;2;2;2;3;1;1;3;20;3;2;2;2;3;12
3;3;3;3;2;3;3;20;2;0;0;0;0;2;2;2;1;3;12;1;0;0;0;2;3
3;3;3;3;2;3;3;20;3;0;0;0;0;1;2;3;1;3;13;1;0;0;0;2;3
2;3;2;3;2;3;3;18;2;1;1;2;1;2;3;3;2;3;20;2;2;2;2;2;10
3;3;3;3;3;3;3;21;2;3;3;3;3;2;3;1;1;3;24;2;2;3;3;3;13
3;3;3;3;3;3;3;21;1;3;3;3;3;3;3;0;3;3;25;2;2;3;3;3;13
3;3;3;3;2;3;3;20;2;0;0;0;0;2;3;3;3;3;16;1;0;0;0;2;3
3;3;3;3;2;3;3;20;3;0;0;0;0;2;2;3;3;3;16;1;0;0;0;2;3
3;3;3;3;3;3;3;21;0;1;1;2;2;2;2;0;0;2;12;1;1;1;1;2;6
3;2;3;3;2;3;3;19;2;2;2;1;0;2;2;2;2;2;17;1;0;1;1;2;5
3;3;3;3;3;3;3;21;3;3;3;3;3;3;3;3;3;3;30;2;2;3;3;3;13
3;3;3;3;3;3;3;21;1;3;3;3;3;3;3;1;3;3;26;2;2;2;2;3;11
3;3;3;3;1;3;3;19;1;0;0;0;0;0;0;0;0;2;3;1;0;0;1;1;3
3;3;3;3;3;3;3;21;1;3;3;3;3;3;3;1;2;3;25;1;1;2;1;2;7
3;2;3;3;2;3;3;19;3;0;0;0;0;2;3;3;1;3;15;0;0;0;0;2;2
3;2;3;3;2;3;3;19;3;0;0;0;0;2;3;3;2;3;16;1;0;0;1;2;4
3;2;3;3;2;3;3;19;0;0;0;0;0;2;3;3;2;3;13;1;0;0;1;2;4
3;2;3;3;2;3;3;19;3;0;0;0;0;2;3;3;2;3;16;1;0;0;1;2;4
3;2;3;3;2;3;3;19;3;0;0;0;0;2;3;3;2;3;16;1;0;0;1;2;4
3;3;3;3;3;3;3;21;3;0;0;0;0;3;3;0;1;3;13;0;0;0;0;2;2
3;2;3;3;2;3;3;19;3;0;0;0;0;2;2;3;2;3;15;1;0;0;1;1;3
3;2;3;3;2;3;3;19;3;0;0;0;0;2;2;3;2;3;15;1;0;0;1;2;4
3;2;3;3;2;3;3;19;3;0;0;0;0;2;2;3;2;3;15;1;0;0;1;2;4
